category,requirement,official_source_section,official_expected_behavior,project_file,project_line,observed_behavior,status,severity,evidence,recommended_action
Parameter grouping,"Embedding, prediction head, RMSNorm and mHC static/gating factors use AdamW; other logical matrices use Muon",§2.4 p.14; §4.2.2 p.25,Semantic grouping; packed experts treated as independent matrices,src/train.py,499,Pre-fix used ndim==2 plus substring exclusions; packed 3D experts (294M) went to AdamW. Fixed semantic grouping and 2D/3D logical matrices.,PASS,CRITICAL,"pre-fix runtime: 26,322,112 Muon vs 371,036,923 AdamW; post-fix CSV has no mismatch",Keep automated uniqueness/grouping test
Hybrid Newton-Schulz,"8 iterations at (3.4445,-4.7750,2.0315), then 2 at (2,-1.5,0.5)",§2.4 p.14,Exactly 8+2,src/muon.py,61,Pre-fix ran 3 high-slope + 5 cubic-like iterations from config total 8. Fixed explicit 8+2.,PASS,CRITICAL,legacy numerical rows and experiment.yaml:38,Retain nested config and tests
Standard Newton-Schulz,Controlled 10-step comparison using stabilizing coefficients,Audit control based on §2.4 p.14,10 identical quintic steps,src/muon.py,65,"Pre-fix standard used 8 cubic 1.5/-0.5 steps. Fixed 10 steps with (2,-1.5,0.5).",PASS,HIGH,configs/rerun_muon_standard_ns.yaml,Keep B/C diff gate
Input normalization,M0=M/||M||F,§2.4 p.14 Eq.28 context,"FP32 stable Frobenius norm, epsilon only at denominator",src/muon.py,47,Uses FP32 stable Frobenius norm; epsilon=1e-7 is project detail not disclosed by report.,PARTIAL,LOW,large norm now finite; epsilon official value undisclosed,Document epsilon as non-official
Nesterov,Mt=mu*Mprev+G; input=mu*Mt+G,Algorithm 1 p.14,"Exact formula, mu=0.95",src/muon.py,244,Pre-fix buffer stored scaled equivalent via lerp; fixed exact reported state and input.,PASS,HIGH,one_step_reference_check.csv,Retain exact-formula test
RMS rescaling,"O=Oprime*sqrt(max(n,m))*gamma; gamma=0.18",Algorithm 1 p.14; §4.2.2 p.25,Each logical matrix RMS approximately 0.18,src/muon.py,272,"Pre-fix used sqrt(max(1,rows/cols)) and no gamma. Fixed per logical matrix.",PASS,CRITICAL,update_scale_analysis.csv: relative errors <0.00023,Runtime monitor sampled matrices
Weight decay,Wnew=Wold*(1-lr*wd)-lr*O,Algorithm 1 p.14,"Decoupled once, wd=0.1",src/muon.py,306,Correct order and exactly once.,PASS,HIGH,one_step_reference_check.csv,Retain test
AdamW hyperparameters,beta1=.9 beta2=.95 eps=1e-20 wd=.1,§4.2.2 p.25,Aux AdamW report-aligned,configs/rerun_v4_muon_hybrid.yaml,93,Historical A/B/C used eps=1e-8. Rerun Muon configs use 1e-20; A baseline remains unchanged by request.,PARTIAL,MEDIUM,configs_resolved/*.yaml vs rerun configs,Do not alter historical baseline
Scheduler,Muon and auxiliary AdamW share scheduler,Report says reuse AdamW LR; §4.2.2 p.25,One optimizer with both groups and one LambdaLR,src/train.py,892,Single optimizer contains both groups; scheduler updates all groups after step.,PASS,HIGH,src/train.py:892 and 1064,Checkpoint scheduler state retained
DDP gradient completeness,NS sees complete logical gradient matrix,§3.4.1 pp.19-20,DDP all-reduce completes before optimizer.step,src/train.py,1009,Native DDP synchronizes before optimizer.step; 2-rank Gloo and 8-rank NCCL tests both produced rank parameter max error 0.,PASS,CRITICAL,audit_results/tests/ddp_test_output.txt; audit_results/tests/gpu_nccl_muon_results.json,Use audited native DDP for reruns
DeepSpeed/ZeRO path,Do not split logical Muon matrices,§3.4.1 pp.19-20,Hybrid ZeRO preserves logical matrices,src/train.py,523,Project calls generic configure_moe_param_groups; no proof it preserves 3D logical matrices under ZeRO. Official hybrid ZeRO not implemented.,UNVERIFIABLE,HIGH,No runnable GPU/DeepSpeed test in environment,Block Muon+DeepSpeed; use audited native DDP
BF16 Newton-Schulz,BF16 matmul observed stable,§3.4.1 p.20,BF16 GPU matmuls acceptable; critical reductions FP32,src/muon.py,52,"8×H800 test: BF16-vs-FP32 relative update error 1.84%, RMS 0.179942, no rank divergence; full Hybrid/Standard smoke passed.",PASS,MEDIUM,audit_results/tests/gpu_nccl_muon_results.json; gpu_hybrid_smoke; gpu_standard_smoke,Monitor sampled RMS/orthogonality during reruns
Checkpoint state,Momentum and scheduler survive resume,Not fully disclosed officially,Optimizer and scheduler state saved/restored,src/train.py,128,Plain checkpoints include optimizer/scheduler; DeepSpeed engine owns state. No historical resume failure observed.,PASS,MEDIUM,src/train.py save/load functions,Add resume smoke in GPU environment
QK stabilization,RMSNorm queries and compressed KV; no blind QK-Clip removal,§2.3.3 p.12; §2.4 p.14,Architecture-dependent,src/v4_attention.py,770,q_b_norm and kv_norm are applied immediately before attention; no QK-Clip found.,PASS,MEDIUM,src/v4_attention.py:770-776,Independent stability monitoring still recommended
Official training code,Compare only to disclosed report unless optimizer code published,Official HF repositories,No claim of code identity,audit_results/unresolved_official_details.md,1,"Official repositories list inference/encoding/config/weights, not pretraining optimizer source.",UNVERIFIABLE,INFO,HF API listing captured during audit,Phrase conclusions as report-aligned
